Postcode,Hopsital_name,Team type,Routinely admitting acute team,Strategic Clinical Network,Health Board / Trust,Stroke Team,Easting,Northing,door_to_needle,Fixed,18NSC,24NSC,30CSC Example
SK27JE,SK27JE,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Stockport NHS Foundation Trust,Stepping Hill Hospital; Poplar Grove; Hazel Grove; Stockport,391316,387445,40,,,,
LA144LF,LA144LF,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,University Hospitals of Morecambe Bay NHS Foundation Trust,Furness General Hospital,321180,471847,40,,,,
LA14RP,LA14RP,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,University Hospitals of Morecambe Bay NHS Foundation Trust,Royal Lancaster Infirmary,347775,461064,40,,,,
SR47TP,SR47TP,Routinely admitting team,1,North of England SCN,City Hospitals Sunderland NHS Foundation Trust,Sunderland Royal Hospital,437866,556641,40,,,,
DH15TW,DH15TW,Routinely admitting team,1,North of England SCN,County Durham and Darlington NHS Foundation Trust,University Hospital of North Durham,426217,543809,40,,,,
NE96SX,NE96SX,Routinely admitting team,1,North of England SCN,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital; Queen Elizabeth Avenue;  Gateshead,426956,560604,40,,,,
NE14LP,NE14LP,Routinely admitting team,1,North of England SCN,Newcastle upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,424489,565063,40,2,2,2,2
CA27HY,CA27HY,Routinely admitting team,1,North of England SCN,North Cumbria University Hospitals NHS Trust,Cumberland Infirmary; Newtown Road; Carlisle,338830,556086,40,,,,
CA288JG,CA288JG,Routinely admitting team,1,North of England SCN,North Cumbria University Hospitals NHS Trust,West Cumberland Hospital; Homewood Road; Whitehaven,298940,516115,40,,,,
TS198PE,TS198PE,Routinely admitting team,1,North of England SCN,North Tees and Hartlepool NHS Foundation Trust,University Hospitals of North Tees and Hartlepool,442265,521046,40,,,,
NE236NZ,NE236NZ,Routinely admitting team,1,North of England SCN,Northumbria Healthcare NHS Foundation Trust,Northumbria Specialist Emergency Care Hospital HASU; Northumbrian Road; Cramlington,427587,575599,40,,,,
TS43BW,TS43BW,Routinely admitting team,1,North of England SCN,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital; Marton Road; Middlesbrough,450885,517673,40,2,2,2,2
NE340PL,NE340PL,Routinely admitting team,1,North of England SCN,South Tyneside NHS Foundation Trust,South Tyneside District Hospital,436591,564288,40,,,,
S752EP,S752EP,Routinely admitting team,1,Yorkshire and The Humber SCN,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital; Gawber Road; Barnsley,433252,407062,40,,,,-1
BD96RJ,BD96RJ,Routinely admitting team,1,Yorkshire and The Humber SCN,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary; Duckworth Lane; Bradford,413618,434429,40,,,,
HX30PW,HX30PW,Routinely admitting team,1,Yorkshire and The Humber SCN,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital; Salterhebble; Halifax,409504,423164,40,,,,
S445BL,S445BL,Routinely admitting team,1,Yorkshire and The Humber SCN,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital; Chesterfield Road; Calow; Chesterfield,440141,371188,40,,,,
DN25LT,DN25LT,Routinely admitting team,1,Yorkshire and The Humber SCN,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Doncaster Royal Infirmary; Throne Road; Doncaster,459143,404157,40,,,,-1
HG27SX,HG27SX,Routinely admitting team,1,Yorkshire and The Humber SCN,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,431726,455415,40,,,,
HU32JZ,HU32JZ,Routinely admitting team,1,Yorkshire and The Humber SCN,Hull and East Yorkshire Hospitals NHS Trust,Hull Royal Infirmary; Anlaby Road; Hull,508378,428777,40,2,2,2,2
LS13EX,LS13EX,Routinely admitting team,1,Yorkshire and The Humber SCN,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary; Great George Street; Leeds,429621,433998,40,2,2,2,2
WF14DG,WF14DG,Routinely admitting team,1,Yorkshire and The Humber SCN,Mid Yorkshire Hospitals NHS Trust,Pinderfields Hospital,433870,421896,40,,,,
DN157BH,DN157BH,Routinely admitting team,1,Yorkshire and The Humber SCN,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,488297,410936,40,,,,
S602UD,S602UD,Routinely admitting team,1,Yorkshire and The Humber SCN,Rotherham NHS Foundation Trust,Rotherham General Hospital; Moorgate Road; Rotherham,443775,390997,40,,,,
S102JF,S102JF,Routinely admitting team,1,Yorkshire and The Humber SCN,Sheffield Teaching Hospitals NHS Foundation Trust,Royal Hallamshire Hospital; Glossop Road; Sheffield,433803,386953,40,2,2,2,2
YO318HE,YO318HE,Routinely admitting team,1,Yorkshire and The Humber SCN,York Teaching Hospital NHS Foundation Trust,York Hospital; Wigginton Road; York,460168,452930,40,,,,
KT160PZ,KT160PZ,Routinely admitting team,1,South East SCN,Ashford and St Peter's Hospitals NHS Foundation Trust,St Peter's Hospital; Guildford Road; Chertsey,502611,165338,40,,,,
RH164EX,RH164EX,Routinely admitting team,1,South East SCN,Brighton and Sussex University Hospitals NHS Trust,Princess Royal Hospital; Lewes Road; Haywards Heath,534125,123035,40,2,2,2,-1
BN25BE,BN25BE,Routinely admitting team,1,South East SCN,Brighton and Sussex University Hospitals NHS Trust,Royal Sussex County Hospital; Eastern Road; Brighton,532654,103901,40,,,,2
DA28DA,DA28DA,Routinely admitting team,1,South East SCN,Dartford and Gravesham NHS Trust,Darent Valley Hospital; Darent Wood Road; Dartford,557094,173081,40,,,,2
CT13NG,CT13NG,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,Kent and Canterbury Hospital,615456,156464,40,,,,-1
CT94AN,CT94AN,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,Queen Elizabeth the Queen Mother Hospital; St Peter's Road; Margate,635967,169786,40,,,,-1
TN240LZ,TN240LZ,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,William Harvey Hospital,604090,142068,40,,,,
BN212UD,BN212UD,Routinely admitting team,1,South East SCN,East Sussex Healthcare NHS Trust,Eastbourne District General Hospital; King's Dr; Eastbourne,560184,101058,40,,,,
KT187EG,KT187EG,Routinely admitting team,1,South East SCN,Epsom and St Helier University Hospitals NHS Trust,Epsom Hospital; Dorking; Epsom,520413,159906,40,,,,
GU167UJ,GU167UJ,Routinely admitting team,1,South East SCN,Frimley Health NHS Foundation Trust,Frimley Park Hospital,487761,158591,40,,,,
ME169QQ,ME169QQ,Routinely admitting team,1,South East SCN,Maidstone and Tunbridge Wells NHS Trust,Maidstone District General Hospital,573362,155654,40,,,,
TN24QJ,TN24QJ,Routinely admitting team,1,South East SCN,Maidstone and Tunbridge Wells NHS Trust,Tunbridge Wells Hospital,561472,141407,40,,,,
ME75NY,ME75NY,Routinely admitting team,1,South East SCN,Medway NHS Foundation Trust,Medway Maritime Hospital,577004,167601,40,,,,
GU27XX,GU27XX,Routinely admitting team,1,South East SCN,Royal Surrey County Hospital NHS Foundation Trust,Royal Surrey County Hospital; Egerton Road; Guildford,497304,150014,40,,,,
RH15RH,RH15RH,Routinely admitting team,1,South East SCN,Surrey and Sussex Healthcare NHS Trust,East Surrey Hospital; Canada Avenue; Redhill,528458,148271,40,,,,
PO196SE,PO196SE,Routinely admitting team,1,South East SCN,Western Sussex Hospitals NHS Trust,St Richards Hospital,486835,105615,40,,,,2
BN112DH,BN112DH,Routinely admitting team,1,South East SCN,Western Sussex Hospitals NHS Trust,Worthing Hospital; Lyndhurst Road; Worthing,515386,103181,40,,,,
GL13NN,GL13NN,Routinely admitting team,1,South West SCN,Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire Royal Hospital,384117,218670,40,,,,2
SN36BB,SN36BB,Routinely admitting team,1,South West SCN,Great Western Hospitals NHS Foundation Trust,Great Western Hospital; Marlborough; Swindon,419017,182216,40,,,,
BS105NB,BS105NB,Routinely admitting team,1,South West SCN,North Bristol NHS Trust,North Bristol Hospital NHS Trust; Southmead Hospital; Southmead Way; Bristol,358934,177759,40,2,2,2,2
EX314JB,EX314JB,Routinely admitting team,1,South West SCN,Northern Devon Healthcare NHS Trust,North Devon District Hospital; Raleigh Park; Barnstaple,256506,134540,40,,,,-1
PL68DH,PL68DH,Routinely admitting team,1,South West SCN,Plymouth Hospitals NHS Trust,Derriford Hospital,249930,59564,40,2,2,2,2
TR13LQ,TR13LQ,Routinely admitting team,1,South West SCN,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospital; Penventinnie Lane; Truro,179581,45313,40,,,,
EX25DW,EX25DW,Routinely admitting team,1,South West SCN,Royal Devon and Exeter NHS Foundation Trust,Royal Devon and Exeter Hospital,293730,91869,40,,,,2
BA13NG,BA13NG,Routinely admitting team,1,South West SCN,Royal United Hospital Bath NHS Trust,Royal United Hospital Bath,372876,165920,40,,,,
SP28BJ,SP28BJ,Routinely admitting team,1,South West SCN,Salisbury NHS Foundation Trust,Salisbury District Hospital; Odstock Road; Salisbury,414831,127198,40,,,,
TA15DA,TA15DA,Routinely admitting team,1,South West SCN,Taunton and Somerset NHS Foundation Trust,Musgrove Park Hospital,321550,124217,40,,,,
TQ27AA,TQ27AA,Routinely admitting team,1,South West SCN,Torbay and South Devon NHS Foundation Trust,Torbay Hospital,289857,65876,40,,,,
BS28HW,BS28HW,Routinely admitting team,1,South West SCN,University Hospitals Bristol NHS Foundation Trust,Bristol Royal Infirmary,358773,173521,40,,,,
BS234TQ,BS234TQ,Routinely admitting team,1,South West SCN,Weston Area Health NHS Trust,Weston General Hospital; Grange Road; Weston-super-Mare,332406,158585,40,,,,
BA214AT,BA214AT,Routinely admitting team,1,South West SCN,Yeovil District Hospital NHS Foundation Trust,Yeovil District Hospital,355505,116348,40,,,,
HP112TT,HP112TT,Routinely admitting team,1,Thames Valley SCN,Buckinghamshire Healthcare NHS Trust,Wycombe General Hospital; Queen Alexandra Road; High Wycombe,486386,192694,40,,,,
SL24HL,SL24HL,Routinely admitting team,1,Thames Valley SCN,Frimley Health NHS Foundation Trust,Wexham Park Hospital,499011,182419,40,,,,
MK65LD,MK65LD,Routinely admitting team,1,Thames Valley SCN,Milton Keynes University Hospital NHS Foundation Trust,Milton Keynes General Hospital,486835,237194,40,,,,
OX169AL,OX169AL,Routinely admitting team,1,Thames Valley SCN,Oxford University Hospitals NHS Foundation Trust,Horton General Hospital; Oxford Road; Banbury,445545,239765,40,,,,-1
OX39DU,OX39DU,Routinely admitting team,1,Thames Valley SCN,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital; Headley Way; Oxford,453940,207531,40,2,2,2,2
RG15AN,RG15AN,Routinely admitting team,1,Thames Valley SCN,Royal Berkshire NHS Foundation Trust,Royal Berkshire Hospital,472411,172962,40,,,,
DT12JY,DT12JY,Routinely admitting team,1,Wessex SCN,Dorset County Hospital NHS Foundation Trust,Dorset County Hospital; Williams Avneue; Dorchester,368541,90463,40,,,,
SO225DG,SO225DG,Routinely admitting team,1,Wessex SCN,Hampshire Hospitals NHS Foundation Trust,Royal Hampshire County Hospital; Romsey Road; Winchester,447107,129366,40,,,,
PO305TG,PO305TG,Routinely admitting team,1,Wessex SCN,Isle of Wight NHS Trust,St Mary's Hospital; Parkhurst Road;  Newport,449427,90367,40,,,,
BH152JB,BH152JB,Routinely admitting team,1,Wessex SCN,Poole Hospital NHS Foundation Trust,Poole Hospital; Longfleet Road; Poole,401994,91374,40,,,,-1
PO63LY,PO63LY,Routinely admitting team,1,Wessex SCN,Portsmouth Hospitals NHS Trust,Queen Alexandra Hospital Portsmouth,465570,106054,40,,,,
BH77DW,BH77DW,Routinely admitting team,1,Wessex SCN,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Royal Bournemouth Hospital; Castle Ln E; Bournemouth,412759,94224,40,,,,
SO166YD,SO166YD,Routinely admitting team,1,Wessex SCN,University Hospital Southampton NHS Foundation Trust,Southampton General Hospital; Tremona road; Southampton,439793,114993,40,2,2,2,2
